"Number","System","Material","File"
"001","Structural Materials","Conventional Reinforced Concrete","assets/material-placeholders/001.jpg"
"002","Structural Materials","Low-Carbon Concrete","assets/material-placeholders/002.jpg"
"003","Structural Materials","Structural Steel","assets/material-placeholders/003.jpg"
"004","Structural Materials","Recycled Steel","assets/material-placeholders/004.jpg"
"005","Structural Materials","Conventional Timber","assets/material-placeholders/005.jpg"
"006","Structural Materials","FSC-Certified Timber","assets/material-placeholders/006.jpg"
"007","Exterior Wall Materials","Brick","assets/material-placeholders/007.jpg"
"008","Exterior Wall Materials","Vinyl Siding","assets/material-placeholders/008.jpg"
"009","Exterior Wall Materials","Wood Siding","assets/material-placeholders/009.jpg"
"010","Exterior Wall Materials","Fiber Cement Siding","assets/material-placeholders/010.jpg"
"011","Exterior Wall Materials","Metal Siding","assets/material-placeholders/011.jpg"
"012","Exterior Wall Materials","Reclaimed Brick","assets/material-placeholders/012.jpg"
"013","Insulation","Fibreglass","assets/material-placeholders/013.jpg"
"014","Insulation","Mineral Wool","assets/material-placeholders/014.jpg"
"015","Insulation","Cellulose","assets/material-placeholders/015.jpg"
"016","Insulation","Spray Foam","assets/material-placeholders/016.jpg"
"017","Insulation","EPS Foam","assets/material-placeholders/017.jpg"
"018","Insulation","XPS Foam","assets/material-placeholders/018.jpg"
"019","Roofing Materials","Asphalt Shingles","assets/material-placeholders/019.jpg"
"020","Roofing Materials","Metal Roofing","assets/material-placeholders/020.jpg"
"021","Roofing Materials","Clay / Concrete Tile","assets/material-placeholders/021.jpg"
"022","Roofing Materials","Slate Roofing","assets/material-placeholders/022.jpg"
"023","Roofing Materials","Green Roof","assets/material-placeholders/023.jpg"
"024","Windows","Single-Pane Windows","assets/material-placeholders/024.jpg"
"025","Windows","Double-Pane Windows","assets/material-placeholders/025.jpg"
"026","Windows","Triple-Pane Windows","assets/material-placeholders/026.jpg"
"027","Flooring Materials","Hardwood","assets/material-placeholders/027.jpg"
"028","Flooring Materials","Engineered Wood","assets/material-placeholders/028.jpg"
"029","Flooring Materials","Bamboo","assets/material-placeholders/029.jpg"
"030","Flooring Materials","Cork","assets/material-placeholders/030.jpg"
"031","Flooring Materials","Vinyl / LVP","assets/material-placeholders/031.jpg"
"032","Flooring Materials","Ceramic / Porcelain Tile","assets/material-placeholders/032.jpg"
"033","Paints","Oil-Based Paint","assets/material-placeholders/033.jpg"
"034","Paints","Water-Based Paint","assets/material-placeholders/034.jpg"
"035","Paints","Low / Zero-VOC Paint","assets/material-placeholders/035.jpg"
"036","Paints","Mineral Paint","assets/material-placeholders/036.jpg"
"037","Adhesives","Solvent-Based Adhesive","assets/material-placeholders/037.jpg"
"038","Adhesives","Water-Based Adhesive","assets/material-placeholders/038.jpg"
"039","Adhesives","Low-VOC Adhesive","assets/material-placeholders/039.jpg"
"040","Adhesives","PVA Wood Glue","assets/material-placeholders/040.jpg"
"041","Adhesives","Polyurethane Adhesive","assets/material-placeholders/041.jpg"
"042","Adhesives","Epoxy Adhesive","assets/material-placeholders/042.jpg"
"043","Sealants","Silicone Sealant","assets/material-placeholders/043.jpg"
"044","Sealants","Acrylic Sealant","assets/material-placeholders/044.jpg"
"045","Sealants","Polyurethane Sealant","assets/material-placeholders/045.jpg"
"046","Sealants","Low-VOC Sealant","assets/material-placeholders/046.jpg"
"047","Waterproofing Materials","Bitumen Waterproofing","assets/material-placeholders/047.jpg"
"048","Waterproofing Materials","PVC Membrane","assets/material-placeholders/048.jpg"
"049","Waterproofing Materials","EPDM Membrane","assets/material-placeholders/049.jpg"
"050","Waterproofing Materials","TPO Membrane","assets/material-placeholders/050.jpg"
"051","Waterproofing Materials","Cement-Based Waterproofing","assets/material-placeholders/051.jpg"
"052","Plumbing Pipe Materials","Copper Pipe","assets/material-placeholders/052.jpg"
"053","Plumbing Pipe Materials","PEX Pipe","assets/material-placeholders/053.jpg"
"054","Plumbing Pipe Materials","PVC / CPVC Pipe","assets/material-placeholders/054.jpg"
"055","Lighting","Incandescent Bulb","assets/material-placeholders/055.jpg"
"056","Lighting","Halogen Bulb","assets/material-placeholders/056.jpg"
"057","Lighting","CFL","assets/material-placeholders/057.jpg"
"058","Lighting","Standard LED","assets/material-placeholders/058.jpg"
"059","Lighting","High-Efficiency LED","assets/material-placeholders/059.jpg"
"060","Solar Energy & Storage","Rooftop Solar Panels","assets/material-placeholders/060.jpg"
"061","Solar Energy & Storage","Solar Shingles","assets/material-placeholders/061.jpg"
"062","Solar Energy & Storage","Home Battery Storage","assets/material-placeholders/062.jpg"
